"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Joel Embiid","Phi","C","29.9","33","34.2","38.8","13.8","401","0.883","630","0.568","106","0.368","0.566","0.65","36","11.4","5.8","1.1","1.8","3.6","47.4","41.8","53.2","15.6","127.8","104"
"","Luka Doncic","Dal","G","24.9","37","36.9","36.3","14.3","329","0.769","495","0.566","383","0.373","0.563","0.607","33.6","8.5","9.3","1.4","0.6","3.9","42.1","42.8","51.4","15","120.6","112.8"
"","Giannis Antetokounmpo","Mil","F","29.1","42","35.2","33.4","15.7","474","0.669","734","0.642","75","0.24","0.616","0.645","31.3","11.7","6.2","1.3","1.1","3.6","43","37.5","49.2","14.9","125.2","108.1"
"","Shai Gilgeous-Alexander","Okc","G","25.5","43","34.4","32.8","9.4","392","0.89","716","0.591","146","0.329","0.574","0.647","31.1","5.6","6.5","2.3","0.8","2.1","36.8","37.6","43.2","12.1","131.9","108"
"","Kevin Durant","Pho","F","35.3","37","37.1","30.1","13.7","260","0.873","535","0.555","187","0.455","0.588","0.643","29.1","6.4","5.7","0.9","1.2","3.1","35.5","34.8","41.2","11","123.3","113.4"
"","Donovan Mitchell","Cle","G","27.4","33","35.5","32.1","11.7","199","0.874","396","0.548","295","0.342","0.533","0.585","27.6","5.4","6.2","1.9","0.4","2.8","33","33.8","39.2","11","118.3","107.7"
"","De'Aaron Fox","Sac","G","26.1","37","35.6","31.3","10.7","248","0.726","472","0.515","299","0.391","0.543","0.578","27.5","4.1","5.6","1.6","0.4","2.5","31.5","33.1","37.2","9.6","116","113"
"","Devin Booker","Pho","G","27.2","35","36.1","30","12.5","243","0.881","468","0.543","202","0.381","0.551","0.613","27.2","4.9","7.5","0.9","0.3","2.7","32.1","34.7","39.6","11.1","124.7","111.2"
"","Jayson Tatum","Bos","F","25.9","42","35.9","30","11.5","307","0.811","461","0.549","348","0.362","0.546","0.6","27","8.4","4.4","1","0.5","2.5","35.4","31.4","39.8","11.1","119.7","106.8"
"","Trae Young","Atl","G","25.4","39","36.3","31.1","18","318","0.858","415","0.472","352","0.364","0.506","0.578","26.9","3","10.8","1.4","0.2","4.3","29.9","37.7","40.7","10.5","118.2","119.3"
"","Stephen Curry","Gol","G","35.9","39","33.2","31","13.5","218","0.927","301","0.515","443","0.402","0.567","0.623","26.8","4.2","4.9","0.8","0.4","3","31.1","31.7","35.9","9.9","120.5","117"
"","Jalen Brunson","Nyk","G","27.4","43","35.6","29.2","11","262","0.836","554","0.505","283","0.424","0.55","0.598","26.5","3.8","6.4","0.9","0.2","2.4","30.3","32.9","36.7","9.7","124.5","111.1"
"","Nikola Jokic","Den","C","28.9","45","33.5","29.5","14.5","254","0.827","651","0.637","130","0.369","0.624","0.663","26.3","12","9","1.1","0.9","2.9","38.3","35.3","47.2","16.9","133.4","106.1"
"","Anthony Edwards","Min","G","22.5","42","34.8","32.3","15","282","0.844","540","0.5","270","0.374","0.52","0.579","25.7","5.2","5.1","1.2","0.5","3.4","30.9","30.9","36","10.1","111","106.9"
"","Tyrese Maxey","Phi","G","23.2","42","37.5","27","7.4","242","0.864","480","0.502","346","0.373","0.526","0.578","25.7","3.6","6.6","1","0.5","1.6","29.3","32.2","35.8","9","123.8","112.6"
"","Damian Lillard","Mil","G","33.5","41","35.3","28.1","12.1","332","0.922","362","0.503","354","0.347","0.512","0.603","25.3","4.3","6.8","1.1","0.1","2.4","29.6","32.2","36.4","10.2","124.2","116.3"
"","Kyrie Irving","Dal","G","31.8","27","33.3","29.5","7.7","114","0.895","340","0.506","190","0.411","0.545","0.586","25.2","5.1","5.3","1.3","0.4","1.6","30.3","30.5","35.6","10.6","121.2","114.3"
"","Ja Morant","Mem","G","24.5","9","35.3","30.4","13.7","64","0.813","119","0.555","51","0.275","0.512","0.57","25.1","5.6","8.1","0.8","0.6","3","30.7","33.2","38.8","11.8","115.7","111.9"
"","Anthony Davis","Lal","C","30.9","44","35.9","26.5","11.1","308","0.808","698","0.576","47","0.298","0.568","0.622","24.9","12.2","3.8","1.2","2.3","2.1","37","28.6","40.8","11.7","124.3","107.5"
"","LeBron James","Lal","F","39.1","41","34.3","29.6","15.9","225","0.742","507","0.574","224","0.397","0.581","0.612","24.8","7.1","7.5","1.3","0.6","3.4","31.9","32.3","39.5","12.8","116.3","113"
"","Desmond Bane","Mem","G","25.6","37","34.5","28.8","12.4","140","0.864","376","0.551","320","0.384","0.563","0.597","24.4","4.6","5.3","1","0.5","2.7","29","29.7","34.3","9.8","115","109.8"
"","LaMelo Ball","Cha","G","22.4","21","32.8","33.5","16.4","102","0.873","219","0.498","188","0.362","0.518","0.565","24.3","5.3","8","1.8","0.2","3.8","29.6","32.3","37.6","12.3","112","111.7"
"","Julius Randle","Nyk","F","29.2","45","35.5","29.4","15.9","298","0.779","582","0.543","240","0.304","0.518","0.568","24.1","9.2","5","0.6","0.3","3.4","33.3","29.1","38.3","11.7","113.7","106.6"
"","Lauri Markkanen","Uta","F","26.7","36","32.5","25.1","6.9","195","0.872","292","0.589","289","0.394","0.59","0.642","23.8","8.7","1.9","0.9","0.6","1.2","32.5","25.7","34.4","9","130.9","114.1"
