"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"","Boston","East","Atlantic","21","122.9","108.1","14.8","97.8","124.4","109.4","15","3.04","0.81","18.04","11.8","0.048","20","1","0.952","0.898","0.987","0.054","-1"
"","Milwaukee","East","Central","24","126","119.5","6.5","102.3","122.2","115.9","6.3","0.94","2.91","7.24","12.1","0.052","20","4","0.833","0.699","0.714","0.134","4"
"","New York","East","Atlantic","20","114.3","104.3","10","95.9","119.1","108.8","10.3","3.23","1.81","13.53","14.8","0.007","15","5","0.750","0.757","0.829","-0.007","4"
"","Philadelphia","East","Atlantic","23","121","111.1","9.9","99.4","121.3","111.3","10","1.15","2.81","11.15","17.8","-0.04","17","6","0.739","0.713","0.826","0.026","4"
"","Orlando","East","Southeast","21","114","108.8","5.2","98.2","115.6","110.3","5.3","4.61","-0.57","9.91","17.7","-0.048","14","7","0.667","0.618","0.671","0.049","-1"
"","Cleveland","East","Central","23","114.8","109.9","4.9","98.3","116.3","111.3","5","2.43","1.14","7.43","18","0.036","15","8","0.652","0.610","0.661","0.042","6"
"","Indiana","East","Central","23","127","120.3","6.7","102.6","123.8","117.2","6.6","3.57","2.48","10.17","16","-0.036","14","9","0.609","0.660","0.721","-0.051","1"
"","Chicago","East","Central","24","111.5","109","2.5","96.6","113.6","110.9","2.7","3.78","1.42","6.48","13.1","-0.101","14","10","0.583","0.582","0.582","0.001","1"
"","Miami","East","Southeast","22","114","114.9","-0.9","98","116.4","117.3","-0.9","0.88","2.11","-0.02","11.4","-0.055","12","10","0.545","0.469","0.47","0.076","-3"
"","Brooklyn","East","Atlantic","22","114.2","112.1","2.1","97","116.7","114.5","2.2","1.78","3.02","3.98","14.3","-0.024","10","12","0.455","0.561","0.569","-0.106","-4"
"","Toronto","East","Atlantic","22","112","111.6","0.4","97.6","114.8","114.4","0.4","3.81","1.30","4.21","13.5","-0.05","10","12","0.455","0.512","0.513","-0.057","-2"
"","Atlanta","East","Southeast","20","120.3","123.6","-3.3","101.7","117.1","120.3","-3.2","0.68","4.25","-2.52","10.4","-0.083","8","12","0.400","0.379","0.391","0.021","-1"
"","Charlotte","East","Southeast","19","108.4","118.1","-9.7","98.3","109","118.8","-9.8","3.31","2.36","-6.49","14.4","-0.101","5","14","0.263","0.248","0.181","0.015","-1"
"","Washington","East","Southeast","21","115.6","125.9","-10.3","102.5","112.8","122.9","-10.1","2.66","4.28","-7.44","10.6","-0.092","3","18","0.143","0.170","0.161","-0.027","-8"
"","Detroit","East","Central","23","111.8","120.6","-8.8","100.7","111.1","119.8","-8.7","3.29","2.56","-5.41","9.4","0.003","3","20","0.130","0.176","0.21","-0.046","1"
"","LA Clippers","West","Pacific","23","118.7","110","8.7","98.4","120.7","111.8","8.9","1.35","1.23","10.25","15","0.013","19","4","0.826","0.723","0.786","0.103","8"
"","Denver","West","Northwest","21","120.6","110.6","10","97.8","123.4","113.2","10.2","3.76","1.28","13.96","13.4","0.015","17","4","0.810","0.776","0.829","0.034","3"
"","Minnesota","West","Northwest","21","112.7","103.7","9","98.1","114.3","105.2","9.1","0.76","4.59","9.86","11.4","0.04","17","4","0.810","0.788","0.796","0.022","-2"
"","Oklahoma City","West","Northwest","22","123.9","113.4","10.5","100.9","122.2","111.8","10.4","1.57","2.65","11.97","17.8","0.022","17","5","0.773","0.721","0.846","0.052","7"
"","Utah","West","Northwest","21","123.9","116.2","7.7","100.4","121","113.5","7.5","2.45","3.18","9.95","13.6","0","15","6","0.714","0.709","0.754","0.005","-1"
"","LA Lakers","West","Pacific","25","116.7","111.9","4.8","100.8","115.3","110.5","4.8","3.80","1.65","8.60","15.8","-0.041","17","8","0.680","0.619","0.658","0.061","3"
"","Houston","West","Southwest","24","114.7","108.8","5.9","98.8","115.1","109.1","6","3.66","1.69","9.66","15.1","-0.052","16","8","0.667","0.655","0.694","0.012","-2"
"","Sacramento","West","Pacific","22","121.3","120.9","0.4","100.2","118.8","118.4","0.4","1.26","4.91","1.66","13.9","-0.006","14","8","0.636","0.511","0.513","0.125","1"
"","New Orleans","West","Southwest","23","117.6","111.8","5.8","98.9","118.4","112.6","5.8","2.84","1.87","8.64","16.5","0.027","14","9","0.609","0.638","0.691","-0.029","1"
"","Phoenix","West","Pacific","25","116.9","114.9","2","97.8","119.6","117.6","2","2.51","2.90","4.51","11.7","0.061","14","11","0.560","0.568","0.566","-0.008","3"
"","Dallas","West","Southwest","24","119.8","117","2.8","99.3","120.6","117.8","2.8","1.49","3.32","4.29","17.9","-0.044","13","11","0.542","0.562","0.592","-0.020","-2"
"","Golden State","West","Pacific","24","117.3","118.5","-1.2","98.5","118","119.3","-1.3","1.07","1.65","-0.23","12.5","0.04","12","12","0.500","0.458","0.46","0.042","-1"
"","Portland","West","Northwest","19","110.9","116","-5.1","98","112.6","117.7","-5.1","3.86","1.18","-1.24","13.8","-0.079","7","12","0.368","0.355","0.332","0.013","2"
"","Memphis","West","Southwest","19","105.2","112.2","-7","97.9","106.9","114.1","-7.2","3.79","3.97","-3.41","12.6","-0.011","4","15","0.211","0.285","0.27","-0.074","1"
"","San Antonio","West","Southwest","20","116.2","124","-7.8","101.9","112.8","120.3","-7.5","3.50","3.73","-4.00","15.2","-0.071","3","17","0.150","0.311","0.243","-0.161","-2"
